study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
rna sequencing of nasopharyngeal carcinoma,nasopharyngeal carcinoma,null,null,nasopharyngeal carcinoma,rna
rna sequencing results of l1-fggy+/- lung squamous cell carcinoma tumor samples,squamous cell lung carcinoma,lung,lung,squamous cell carcinoma,rna
rna_sequencing in hmecs model,null,null,null,null,rna
rna-seq analysis in knockdown jurkat samples for each factor of tal1 complex,null,null,null,null,rna
rna-seq for depleted ahnak2 or evpl in escc cell line,esophageal squamous cell carcinoma,esophageal squamous cell carcinoma cell,cell,cell,rna
rna-seq of breast and ovarian cancer cell lines,ovarian cancer,breast,breast,ovarian cancer,rna
rna-seq of exosomes identifies lncrna profiles that distinguish early-stage esophageal squamous cell carcinoma (escc) from non-malignant esophagitis,esophageal squamous cell carcinoma,null,life cycle stage,esophageal squamous cell carcinoma,rna
rna-seq of induced brain microvascular endothelial cells from cerebral childhood adrenoleukodystrophy patients and wild-type controls,endotheliitis,brain,brain,childhood,rna
rna-seq of nasopharyngeal carcinoma tissue from indonesian patients,nasopharyngeal carcinoma,null,tissue,nasopharyngeal carcinoma,rna
rna-seq of primary mesenchymal stem cells -derived osteoblasts (differentiated with bmp2) from 3 human donors,null,stem,null,human,rna
rna-seq of streptococcus suis infected and uninfected human choroid plexus epithelial cells,null,choroid plexus,choroid plexus,human,rna
rtr2d rrna removal sequencing,null,null,null,null,null
setdb2 links e2a-pbx1 to cell cycle dysregulation in acute leukemia through cdkn2c repression [sequencing],acute leukemia (disease),null,cell cycle,cell,null
sex differences in expression of x and y genes during development of the human and chimpanzee central nervous system,null,central nervous system,central nervous system,human,null
single-molecule nascent rna sequencing reveals regulatory domain architecture ant promoters and enhancers,null,null,molecule,null,molecule
smn2 splicing modifiers improve motor function and longevity in mice with spinal muscular atrophy,spinal muscular atrophy,null,null,spinal muscular atrophy,function
srsf1 role in cellular gene expression and splicing,null,null,rostral octaval nerve motor nucleus,null,role
stage-specific transcriptome analysis during differentiation from pluripotency to glial restricted progenitor stages,null,null,life cycle stage,null,null
stromal mir-20a modulates paracrine cxcl8 secretion in colitis and colon cancer,colitis (disease),secretion,secretion,colitis,null
targeting glioma stem cells through combined bmi1 and ezh2 inhibition [rna-seq],glioma,stem,null,glioma,rna
the acute myeloid leukemia associated aml1-eto fusion protein alters the transcriptome and cellular progression in a single-oncogene expressing in vitro induced pluripotent stem cell based granulocyte differentiation model,acute myeloid leukemia,pluripotent stem cell,protein,acute myeloid leukemia,protein
the analysis of copy number alterations from a lncrna perspective reveals a regulator of lung cancer immune evasion,lung cancer,lung,lung,lung cancer,null
the contribution of alu exons to the human proteome,null,null,null,human,null
"the hsv-1(0moi, 0.2moi and 2moi)infected the hnscs.",null,null,null,null,null
the influence of met receptor level on hgf-induced glycolytic reprogramming in head and neck squamous cell carcinoma,head and neck squamous cell carcinoma,head,craniocervical region,receptor,null
the u6 snrna m6a methyltransferase mettl16 regulates sam synthetase intron retention,null,null,null,null,s-adenosyl-l-methionine
thrombocytopenia microcephaly syndrome - a novel phenotype associated with actb mutations,thrombocytopenia,null,null,thrombocytopenia,null
transciptomic profiling of human fetal lung samples,lung neoplasm,lung,lung,human,null
transcriptome analysis of immortalized and transformed human imr90 fibroblasts,null,null,null,human,null
transcriptome analysis of neat1-silenced and control  human coronary artery smooth muscle cells,null,coronary artery smooth muscle,coronary artery,human,null
transcriptome of tnf-a-treated and untreated hela cells before and after tfiib knockdown,null,null,null,null,null
transcriptome-wide off-target rna editing induced by crispr-guided dna base editors [modifications - screen],null,null,null,null,rna
transcriptomes change differerntly in differernt cancer cells upon epz-6438 treatment,cancer,null,null,cancer,treatment
transcriptomic analysis in breast cancer cell lines after cdk4/6 inhibition,breast cancer,breast cancer cell,breast,breast cancer,null
transcriptomic analysis of ipf lung-associated and normal peripheral blood t cells,idiopathic interstitial pneumonia,lung,lung,null,null
transcriptomic profiles of human foreskin fibroblast cells in response to orf virus,contagious pustular dermatitis,prepuce,foreskin fibroblast,human,null
tunable protein synthesis by transcript isoforms in human cells (transcript isoforms in polysomes sequencing: trip-seq),null,null,protein,protein,protein
ubr7 is a novel e3 ubiquitin ligase for h2bk120 and acts as a tumor-suppressor in breast cancer [rna-seq],neoplasm (disease),breast,breast,breast cancer,rna
usp22 functions as an oncogenic driver in prostate cancer by regulating cell proliferation and dna repair,prostate cancer,prostate gland,prostate gland,prostate cancer,null
xpo1 inhibition antagonizes mcl via nuclear retention of ikb: selinexor demonstrates antitumor activities in both ibr-sensitive and ibr-resistant tumor cells,mantle cell lymphoma,null,null,null,selinexor
4su-iclip of matr3 from hek293 cells with or without ptbp1 depletion,null,null,null,null,null
ampliseq transcriptomic array of ref seq. genes in snai1 knock out triple negative breast cancer cells,breast cancer,breast,breast,triple negative breast cancer,null
convergent evolution of micrornas in the same clusters toward cooperative regulation of target genes,null,null,null,null,null
"global analysis of the immediate transcriptional effects of estrogen signaling reveals a rapid, extensive, and transient response",null,null,signaling,estrogen,estrogen
induced pluripotent stem cells-derived gabaergic interneurons transcriptome in down syndrome,down syndrome,stem,null,null,null
rna sequencing of rpa ko cells,null,null,null,null,rna
a cancer-specific ubiquitin ligase drives alternative polyadenylation by targeting pcf11,cancer,null,null,cancer,null
akap95 regulates splicing through scaffolding rnas and rna processing factors,null,null,null,null,rna
an optimised protocol harnessing laser capture microdissection for transcriptomic analysis on matched primary and metastatic colorectal tumours to identify novel biomarker,null,null,null,null,null
chromatin capture identifies scarb1-lag3 proinflammatory cardiovascular disease gene networks [rna-seq],cardiovascular disease,null,null,null,rna
cpsf-160 iclip,null,null,null,null,null
expansion of adult human pancreatic tissue yields organoids harbouring progenitor cells with endocrine differentiation potential,null,adult,adult organism,human,null
global run-on sequencing (gro-seq) of hela cells under cdk9 inhibitor tratment to study elongation checkpoints at both ends of rna polymerase ii-transcribed genes.,null,null,null,null,glycerin
identification of micrornas involved in polycystic ovary syndrome based on high-throughput sequencing [mirna-seq],polycystic ovary syndrome,ovary,ovary,polycystic ovary,null
mirna sequencing on triple negative breast cancer cell lines,breast cancer,breast cancer cell,breast,triple negative breast cancer,null
molecular genetics lab project,null,null,null,null,null
nano genome altas (nga) of body wide tissue specific responses,null,null,multicellular organism,tissue,null
next-generation sequencing of small rnas from hiv-infected cells identifies phased microrna expression patterns and candidate novel micrornas differentially expressed upon infection,infectious disease,null,null,infection,null
novel sf3b1 deletion mutations result in aberrant rna splicing in cll patients,chronic leukemia,null,null,cll,rna
"parallel transcriptional programs driving early-starting inheritable lineage bias of myeloid, lymphoid and dendritic cells are initiated by distinct dosage of pu.1 and irf8 in hscs",null,null,dendritic,null,null
"pheno-rna, a method to identify genes linked to a specific phenotype: application to cellular transformation",null,null,null,null,rna
polr3g dependent polya+ and smallrna transcriptomes in human pluripotent stem cells,null,stem,null,human,null
prevalent n6-methyldeoxyadenosine methylation in mammalian mitochondrial dna,null,null,null,null,null
protocol for full length profiling of ig repertoires,null,null,null,null,null
replicational dilution of h3k27me3 in mammalian cells and the role of poised promoters,null,null,rostral octaval nerve motor nucleus,null,role
repurposing of promoters and enhancers during mammalian evolution,null,null,null,null,null
"rna-seq analysis of hpsc-derived brain pericyte-like cells, hpsc-derived neural crest stem cells, and primary human brain pericytes",null,brain,brain pericyte,human,rna
rnaseq of quiescent (q) and stress induced premature senescent (sips) fibroblasts treated with plant extract (1201) from solidago vigaurea subspecies alpestris,null,plant,null,stress,null
role of bet proteins in yap/taz-dependent transcription [rna-seq 1],null,null,rostral octaval nerve motor nucleus,null,role
sebocyte tlr response,null,sebocyte,sebum secreting cell,null,null
"single cell transcriptome analysis of normal, thalassemia and sickle cell donors' bone marrow cd34+ cells",thalassemia,sickle cell,cell,cell,null
single-cell rna-sequencing of cd14+ monocyte differentiation with m-csf stimulus,null,monocyte,cell,cell,rna
tacrolimus- and sirolimus-induced human b cell dysfunction is reversible and preventable,null,b-lymphocyte,b cell,human,tacrolimus
